year,area,state
2018,14.607230143026753,SÃO PAULO
2018,470.55507963754343,MINAS GERAIS
2018,258.3438931243829,MATO GROSSO DO SUL
2018,988.0930627579799,MATO GROSSO
2018,0.41594411901444034,RONDÔNIA
2018,8.176207743866321,DISTRITO FEDERAL
2018,0.57899515789551,PARANÁ
2018,1530.0561261643215,TOCANTINS
2018,696.9686566083496,BAHIA
2018,1470.3755701862096,MARANHÃO
2018,482.60273301812737,PIAUÍ
2018,713.2680614310842,GOIÁS
2017,3.706419129274238,SÃO PAULO
2017,511.806335776515,MINAS GERAIS
2017,285.2915917330724,MATO GROSSO DO SUL
2017,1103.9037621839504,MATO GROSSO
2017,0.21997579575220527,RONDÔNIA
2017,5.494952147561139,DISTRITO FEDERAL
2017,2.448920073704694,PARANÁ
2017,1693.4503179833298,TOCANTINS
2017,783.0248763355421,BAHIA
2017,1481.293027334148,MARANHÃO
2017,599.2346758431087,PIAUÍ
2017,841.9756433159006,GOIÁS
2016,3.2757941307473524,SÃO PAULO
2016,329.2195598250278,MINAS GERAIS
2016,341.6122857999629,MATO GROSSO DO SUL
2016,1164.5161983286887,MATO GROSSO
2016,0.18858576623775064,RONDÔNIA
2016,2.525272809463308,DISTRITO FEDERAL
2016,2.729524264879073,PARANÁ
2016,1587.2073697151723,TOCANTINS
2016,782.1149773080023,BAHIA
2016,1228.815464244055,MARANHÃO
2016,700.8076538861516,PIAUÍ
2016,646.554974683812,GOIÁS
2015,25.106844456659843,SÃO PAULO
2015,1197.855290535005,MINAS GERAIS
2015,0.08269750277309244,PARÁ
2015,624.8135813814087,MATO GROSSO DO SUL
2015,1695.505311373548,MATO GROSSO
2015,0.20759167782416582,RONDÔNIA
2015,5.144002901150852,DISTRITO FEDERAL
2015,6.848034926001566,PARANÁ
2015,3063.3817967705604,TOCANTINS
2015,1334.5169402977112,BAHIA
2015,1656.4911459209147,MARANHÃO
2015,847.0402565777009,PIAUÍ
2015,1218.1160906157224,GOIÁS
2014,49.74049568110184,SÃO PAULO
2014,1947.9250828440404,MINAS GERAIS
2014,278.49752401177636,MATO GROSSO DO SUL
2014,1010.4478096351048,MATO GROSSO
2014,0.15253077663311176,RONDÔNIA
2014,20.20892687475043,DISTRITO FEDERAL
2014,8.047697600076415,PARANÁ
2014,2243.355065186218,TOCANTINS
2014,1078.8953859886062,BAHIA
2014,1834.3971417599826,MARANHÃO
2014,1171.6610789768295,PIAUÍ
2014,1181.5913773368836,GOIÁS
2013,43.43806102282588,SÃO PAULO
2013,1953.406858171773,MINAS GERAIS
2013,494.5972618997159,MATO GROSSO DO SUL
2013,1757.4155632320035,MATO GROSSO
2013,0.7345398899483239,RONDÔNIA
2013,11.121993729125066,DISTRITO FEDERAL
2013,2.8407486509309425,PARANÁ
2013,2816.816547761642,TOCANTINS
2013,1562.10504098338,BAHIA
2013,1590.5949416520086,MARANHÃO
2013,1325.8705635892725,PIAUÍ
2013,1502.2301496449425,GOIÁS
2012,1471.5587204656479,MINAS GERAIS
2012,2.0756577896881203,PARANÁ
2012,6.289769874574535,DISTRITO FEDERAL
2012,1523.6347924212776,BAHIA
2012,939.091151992844,PIAUÍ
2012,393.6672072727764,MATO GROSSO DO SUL
2012,1432.0225440463414,MARANHÃO
2012,1033.2422824611083,MATO GROSSO
2012,1740.7940403841244,TOCANTINS
2012,0.17617821591712296,RONDÔNIA
2012,973.4261931496078,GOIÁS
2012,24.08266087325994,SÃO PAULO
2011,24.08266087325994,SÃO PAULO
2011,393.6672072727764,MATO GROSSO DO SUL
2011,1033.2422824611083,MATO GROSSO
2011,0.17617821591712296,RONDÔNIA
2011,6.289769874574535,DISTRITO FEDERAL
2011,2.0756577896881203,PARANÁ
2011,1740.7940403841244,TOCANTINS
2011,1523.6347924212776,BAHIA
2011,1432.0225440463414,MARANHÃO
2011,939.091151992844,PIAUÍ
2011,973.4261931496078,GOIÁS
2011,1471.5587204656479,MINAS GERAIS
2010,12.302621441928943,DISTRITO FEDERAL
2010,1459.56987568277,GOIÁS
2010,20.856086870150527,PARANÁ
2010,832.204781457498,PIAUÍ
2010,1356.8239613069786,MINAS GERAIS
2010,1693.7646518167096,MARANHÃO
2010,0.04425340228847041,PARÁ
2010,72.49421215049777,SÃO PAULO
2010,516.864475010736,MATO GROSSO DO SUL
2010,1208.780101660958,BAHIA
2010,1000.3721336415474,MATO GROSSO
2010,1819.7965007497164,TOCANTINS
2010,0.24077059671102374,RONDÔNIA
2009,516.864475010736,MATO GROSSO DO SUL
2009,20.856086870150527,PARANÁ
2009,12.302621441928943,DISTRITO FEDERAL
2009,1819.7965007497164,TOCANTINS
2009,0.24077059671102374,RONDÔNIA
2009,1208.780101660958,BAHIA
2009,1000.3721336415474,MATO GROSSO
2009,1693.7646518167096,MARANHÃO
2009,0.04425340228847041,PARÁ
2009,832.204781457498,PIAUÍ
2009,1356.8239613069786,MINAS GERAIS
2009,1459.56987568277,GOIÁS
2009,72.49421215049777,SÃO PAULO
2008,2833.4525969579454,MARANHÃO
2008,56.31114929741598,SÃO PAULO
2008,10.480299971883419,DISTRITO FEDERAL
2008,2152.28579848461,MINAS GERAIS
2008,2010.0107542400085,BAHIA
2008,0.7226112667332164,PARÁ
2008,2.5437512047704796,PARANÁ
2008,788.5495172094644,MATO GROSSO DO SUL
2008,1504.23827710262,GOIÁS
2008,1989.5196889869628,MATO GROSSO
2008,1798.3755793568291,TOCANTINS
2008,0.7757709109238871,RONDÔNIA
2008,637.5572873210997,PIAUÍ
2007,2152.28579848461,MINAS GERAIS
